Status,ID,UID,Título,Usuário,Observações,Plano,RTSP
online,811733,68IM4303553N2,ESCOLA JOÃO BATISTA,ADMINISTRADOR - FRANQUEADO,,30dias,
online,811734,68IM4303736NO,ESCOLA JOÃO BATISTA,ADMINISTRADOR - FRANQUEADO,,30dias,
online,822310,7KOM28059117O,CRECHE SANTA LUZIA,ADMINISTRADOR - FRANQUEADO,,30dias,
online,822317,L52943674,CRECHE SANTA LUZIA LPR 1,ADMINISTRADOR - FRANQUEADO,,30dias,
online,822318,L52943652,CRECHE SANTA LUZIA LPR,ADMINISTRADOR - FRANQUEADO,,30dias,
online,822324,DVV0001613611,ESCOLA GERVÁSIO LAGES RABÊLO,ADMINISTRADOR - FRANQUEADO,,30dias,
online,822339,K92444608,ESCOLA GERVÁSIO LAGES RABÊLO LPR,ADMINISTRADOR - FRANQUEADO,,30dias,
online,822340,K92444633,ESCOLA GERVÁSIO LAGES RABÊLO LPR,ADMINISTRADOR - FRANQUEADO,,30dias,
online,822341,DZA0001613609,CRECHE ANNA KEROLAYNE,ADMINISTRADOR - FRANQUEADO,,30dias,
online,822342,K92444687,CRECHE ANNA KEROLAYNE LPR,ADMINISTRADOR - FRANQUEADO,,30dias,
online,822350,J54260877,CRECHE ANNA KEROLAYNE LPR 01,ADMINISTRADOR - FRANQUEADO,,30dias,
online,822368,DIB0001613592,ESCOLA JOÃO BATISTA,ADMINISTRADOR - FRANQUEADO,,30dias,
online,822385,DLL0001613598,ESCOLA SÃO RAIMUNDO NONATO,ADMINISTRADOR - FRANQUEADO,,30dias,
online,822390,K92444693K92444693,ESCOLA SÃO RAIMUNDO NONATO LPR,ADMINISTRADOR - FRANQUEADO,,30dias,
online,822391,K92444645,ESCOLA SÃO RAIMUNDO NONATO LPR,ADMINISTRADOR - FRANQUEADO,,30dias,
online,822397,K92444696,MARIA PINHEIRO DE CASTRO LPR,ADMINISTRADOR - FRANQUEADO,,30dias,
online,822398,K25161148,MARIA PINHEIRO DE CASTRO LPR,ADMINISTRADOR - FRANQUEADO,,30dias,
online,822399,DSN0001613586,MARIA PINHEIRO DE CASTRO,ADMINISTRADOR - FRANQUEADO,,30dias,
online,822880,DYB0002227878,ESCOLA GERVÁSIO LAGES RABÊLO,ADMINISTRADOR - FRANQUEADO,,30dias,
